jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;erststimmegueltig;zweitstimmegueltig;cdu1;cdu2;csu1;csu2;spd1;spd2;fdp1;fdp2;gru1;gru2;pds1;pds2
1990;270;Neustrelitz – Strasburg – Pasewalk – Ueckermünde – Anklam;12;0;153777;107081;104072;104593;45060;44784;0;0;28936;28089;7962;7774;0;0;14620;14820
1990;271;Neuruppin – Kyritz – Wittstock – Pritzwalk – Perleberg;13;0;168369;123599;121457;121817;50700;50216;0;0;40966;39837;10653;12528;0;0;9496;9313
1990;272;Prenzlau – Angermünde – Schwedt – Templin – Gransee;13;0;153538;105782;103655;103883;35304;35299;0;0;39114;37976;7827;8509;0;0;11572;11736
1990;273;Oranienburg – Nauen;13;0;151482;114814;112910;113357;42104;41776;0;0;42194;39177;9724;11556;0;0;11303;10391
1990;274;Eberswalde – Bernau – Bad Freienwalde;13;0;140254;100570;98668;98991;35376;34835;0;0;33813;33222;8055;8797;0;0;12430;11474
1990;275;Brandenburg – Rathenow – Belzig;13;0;168673;125727;123639;124018;43080;43669;0;0;47594;45012;11826;14069;0;0;11114;10594
1990;276;Potsdam;13;0;181489;139387;137532;137916;36866;37642;0;0;46824;46157;14336;14618;0;0;23255;22033
1990;277;Fürstenwalde – Strausberg – Seelow;13;0;172967;127842;125488;126056;42727;42609;0;0;42102;41256;10593;11163;0;0;18471;17516
1990;278;Luckenwalde – Zossen – Jüterbog – Königs Wusterhausen;13;0;181373;138823;136708;137076;45517;44581;0;0;53122;49983;11698;14191;0;0;14518;14164
1990;279;Frankfurt/Oder – Eisenhüttenstadt – Beeskow;13;0;142638;102489;100313;100937;34688;34709;0;0;30730;30904;7953;8810;0;0;15345;14294
1990;280;Cottbus – Guben – Forst;13;0;183291;129969;127228;128119;51181;49605;0;0;39600;36067;13322;12201;0;0;20669;17062
1990;281;Senftenberg – Calau – Spremberg;13;0;156838;114460;112211;112561;50779;50051;0;0;33274;32722;7436;9489;0;0;10388;10122
1990;282;Bad Liebenwerda – Finsterwalde – Herzberg – Lübben – Luckau;13;0;155772;120686;118151;118709;51972;51625;0;0;35847;35981;11434;12655;0;0;8437;8323
1990;283;Altmark;14;0;186841;134912;132121;132819;51376;51466;0;0;39523;37948;16438;19882;0;0;13333;12686
1990;284;Elbe-Havel-Gebiet und Haldensleben – Wolmirstedt;14;0;169597;120649;118265;118723;51242;48593;0;0;32225;32658;14810;18185;0;0;11158;10122
1990;285;Harz und Vorharzgebiet;14;0;177838;130574;128300;128736;56044;54977;0;0;36274;32644;16468;21097;0;0;10812;10547
1990;286;Magdeburg;14;0;171335;119675;118299;118478;40870;40216;0;0;33642;34892;11522;15100;0;0;18454;16077
1990;287;Magdeburg – Schönebeck – Wanzleben – Staßfurt;14;0;195789;139860;137219;137674;57382;55627;0;0;39385;39488;15102;19185;0;0;14653;13458
1990;288;Wittenberg – Gräfenhainichen – Jessen – Roßlau – Zerbst;14;0;179401;132795;130074;130648;53513;51311;0;0;33364;33018;22460;25589;0;0;10727;10313
1990;289;Dessau – Bitterfeld;14;0;171062;124085;122212;122467;44622;46565;0;0;27651;28157;28054;27588;0;0;11074;10841
1990;290;Bernburg – Aschersleben – Quedlinburg;14;0;174792;126241;123851;124193;53301;52727;0;0;30633;29010;21712;24819;0;0;9639;9407
1990;291;Halle-Altstadt;14;0;169624;118046;116172;116405;27150;28134;0;0;23944;22981;40096;40297;0;0;14536;14554
1990;292;Halle-Neustadt – Saalkreis – Köthen;14;0;178897;127868;125495;125995;43799;42578;0;0;27795;27632;29799;33350;0;0;14227;13321
1990;293;Merseburg – Querfurt – Weißenfels;14;0;163979;118623;116080;116709;47803;46472;0;0;26557;26831;22934;25032;0;0;10415;10003
1990;294;Zeitz – Hohenmölsen – Naumburg – Nebra;14;0;143920;108780;106465;106926;48437;46206;0;0;23207;22524;19467;22707;0;0;8831;8482
1990;295;Eisleben – Sangerhausen – Hettstedt;14;0;154715;113615;111196;111613;48892;48643;0;0;25021;25613;20454;21434;0;0;10474;9242
1990;296;Nordhausen – Worbis – Heiligenstadt;15;0;165431;132749;130672;131241;73907;73256;0;0;25361;24898;13879;16476;0;0;8960;7465
