jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;csu1;csu2;gru1;gru2;fdp1;fdp2;pds1;pds2
2002;220;München-Ost;9;0;217262;175917;175024;65525;50631;0;0;78887;80347;15234;26737;12158;11740;1701;2028
2002;221;München-Süd;9;0;200604;162031;161233;66428;48286;0;0;71150;73477;12454;24171;6844;9591;1455;2062
2002;222;München-West/Mitte;9;0;216927;175739;174858;71447;51117;0;0;77212;76220;14623;31106;7593;10146;1815;2383
2002;223;München-Land;9;0;248648;213830;212807;67977;51520;0;0;117844;118568;12940;22785;9737;14241;1469;1519
2002;224;Rosenheim;9;0;216569;177041;176057;38723;34593;0;0;110328;113876;11158;13447;6423;7917;805;1004
2002;225;Starnberg;9;0;247902;211399;210159;45918;40886;0;0;132307;132215;11561;20140;14370;11950;1531;1194
2002;226;Traunstein;9;0;204009;166863;165495;32948;31335;0;0;113558;111352;10501;11501;4112;6013;866;860
2002;227;Weilheim;9;0;238479;199441;198373;44447;40403;0;0;124773;127481;15374;15457;7767;9135;0;1150
2002;228;Deggendorf;9;0;152670;117641;116853;27981;22679;0;0;80182;82895;3339;3975;2305;3633;0;414
2002;229;Landshut;9;0;236680;192222;191016;44014;39686;0;0;124202;128306;11214;10730;9491;6923;0;1009
2002;230;Passau;9;0;182945;141905;140829;28268;30550;0;0;90656;95027;5398;5936;11699;5413;987;609
